id,file_path,label,predicted_label,confidence,split,source,annotator,status,reasons,recommendation
1,butterfly_000001.jpeg,butterfly,butterfly,0.918,train,animals10,ann_4    ,ok,,keep
2,butterfly_000002.jpeg,butterfly,butterfly,0.972,train,animals10,ann_1    ,ok,,keep
3,butterfly_000003.jpeg,butterfly,butterfly,0.902,train,animals10,ann_2    ,ok,,keep
4,butterfly_000004.jpeg,butterfly,butterfly,0.917,train,animals10,ann_4    ,ok,,keep
6,butterfly_000006.jpeg,butterfly,butterfly,0.917,train,animals10,ann_4    ,ok,,keep
7,butterfly_000007.jpeg,butterfly,butterfly,0.942,train,animals10,ann_2    ,ok,,keep
8,butterfly_000008.jpeg,butterfly,butterfly,0.924,train,animals10,ann_2    ,ok,,keep
11,butterfly_000011.jpeg,butterfly,butterfly,0.967,train,animals10,ann_4    ,ok,,keep
12,butterfly_000012.jpeg,butterfly,butterfly,0.832,train,animals10,ann_2    ,ok,too_bright,keep
13,butterfly_000013.jpeg,butterfly,butterfly,0.834,train,animals10,ann_3    ,ok,,keep
14,butterfly_000014.jpg,butterfly,butterfly,0.908,train,animals10,ann_3    ,ok,,keep
15,butterfly_000015.jpeg,butterfly,butterfly,0.934,train,animals10,ann_2    ,ok,,keep
16,butterfly_000016.jpeg,butterfly,butterfly,0.839,train,animals10,ann_2    ,ok,,keep
17,butterfly_000017.jpg,butterfly,butterfly,0.899,train,animals10,ann_3    ,ok,,keep
18,butterfly_000018.jpeg,butterfly,butterfly,0.949,train,animals10,ann_2    ,ok,,keep
19,butterfly_000019.jpeg,butterfly,dog,0.542,train,animals10,ann_4    ,hard_example,model_disagreement;high_entropy;low_confidence,send_to_review
20,butterfly_000020.jpeg,butterfly,butterfly,0.952,train,animals10,ann_1    ,ok,too_bright,keep
21,butterfly_000021.jpeg,butterfly,butterfly,0.832,train,animals10,ann_4    ,ok,,keep
22,butterfly_000022.jpeg,butterfly,butterfly,0.96,train,animals10,ann_2    ,ok,,keep
23,butterfly_000023.jpeg,butterfly,butterfly,0.9,train,animals10,ann_1    ,ok,,keep
24,butterfly_000024.jpeg,butterfly,butterfly,0.869,train,animals10,ann_2    ,ok,,keep
25,butterfly_000025.jpeg,butterfly,butterfly,0.875,train,animals10,ann_3    ,ok,,keep
26,butterfly_000026.jpeg,butterfly,butterfly,0.922,train,animals10,ann_3    ,ok,,keep
27,butterfly_000027.jpeg,butterfly,butterfly,0.905,train,animals10,ann_2    ,ok,,keep
28,butterfly_000028.jpeg,butterfly,butterfly,0.847,train,animals10,ann_3    ,ok,,keep
29,butterfly_000029.jpeg,butterfly,butterfly,0.952,train,animals10,ann_1    ,ok,,keep
30,butterfly_000030.jpeg,butterfly,butterfly,0.943,train,animals10,ann_3    ,ok,,keep
31,butterfly_000031.jpeg,butterfly,butterfly,0.887,train,animals10,ann_1    ,ok,,keep
32,butterfly_000032.jpg,butterfly,butterfly,0.866,train,animals10,ann_3    ,ok,,keep
33,butterfly_000033.jpeg,butterfly,butterfly,0.93,train,animals10,ann_3    ,ok,,keep
34,butterfly_000034.jpg,butterfly,butterfly,0.845,train,animals10,ann_4    ,ok,,keep
35,butterfly_000035.jpeg,butterfly,butterfly,0.917,train,animals10,ann_3    ,ok,,keep
36,butterfly_000036.jpeg,butterfly,butterfly,0.978,train,animals10,ann_3    ,ok,,keep
37,butterfly_000037.jpeg,butterfly,butterfly,0.879,train,animals10,ann_1    ,ok,,keep
38,butterfly_000038.jpeg,butterfly,butterfly,0.863,train,animals10,ann_2    ,ok,,keep
40,butterfly_000040.jpeg,butterfly,butterfly,0.846,train,animals10,ann_3    ,ok,,keep
41,butterfly_000041.jpg,butterfly,butterfly,0.85,train,animals10,ann_2    ,ok,,keep
42,butterfly_000042.jpeg,butterfly,butterfly,0.9,train,animals10,ann_3    ,ok,,keep
44,butterfly_000044.jpg,butterfly,butterfly,0.828,train,animals10,ann_4    ,ok,,keep
45,butterfly_000045.jpeg,butterfly,butterfly,0.928,train,animals10,ann_3    ,ok,,keep
46,butterfly_000046.jpeg,butterfly,butterfly,0.889,train,animals10,ann_3    ,ok,,keep
47,butterfly_000047.jpeg,butterfly,butterfly,0.879,train,animals10,ann_4    ,ok,,keep
49,butterfly_000049.jpeg,butterfly,butterfly,0.908,train,animals10,ann_1    ,ok,,keep
51,butterfly_000051.jpeg,butterfly,butterfly,0.843,train,animals10,ann_4    ,ok,,keep
53,butterfly_000053.jpeg,butterfly,butterfly,0.963,train,animals10,ann_2    ,ok,,keep
54,butterfly_000054.jpeg,butterfly,butterfly,0.846,train,animals10,ann_3    ,ok,,keep
55,butterfly_000055.jpeg,butterfly,butterfly,0.902,train,animals10,ann_4    ,ok,,keep
56,butterfly_000056.jpeg,butterfly,butterfly,0.951,train,animals10,ann_3    ,ok,,keep
58,butterfly_000058.jpeg,butterfly,butterfly,0.925,train,animals10,ann_2    ,ok,,keep
59,butterfly_000059.jpg,butterfly,butterfly,0.847,train,animals10,ann_4    ,ok,,keep
60,butterfly_000060.jpeg,butterfly,butterfly,0.825,train,animals10,ann_1    ,ok,,keep
61,butterfly_000061.jpeg,butterfly,butterfly,0.887,train,animals10,ann_4    ,ok,,keep
62,butterfly_000062.jpeg,butterfly,butterfly,0.944,train,animals10,ann_4    ,ok,,keep
63,butterfly_000063.jpeg,butterfly,butterfly,0.83,train,animals10,ann_2    ,ok,,keep
64,butterfly_000064.jpeg,butterfly,butterfly,0.98,train,animals10,ann_4    ,ok,,keep
65,butterfly_000065.jpeg,butterfly,butterfly,0.848,train,animals10,ann_3    ,ok,,keep
66,butterfly_000066.jpeg,butterfly,butterfly,0.959,train,animals10,ann_3    ,ok,,keep
67,butterfly_000067.jpeg,butterfly,butterfly,0.859,train,animals10,ann_3    ,ok,too_dark,keep
68,butterfly_000068.jpg,butterfly,butterfly,0.868,train,animals10,ann_3    ,ok,,keep
69,butterfly_000069.jpg,butterfly,butterfly,0.898,train,animals10,ann_4    ,ok,,keep
70,butterfly_000070.jpg,butterfly,butterfly,0.947,train,animals10,ann_3    ,ok,,keep
71,butterfly_000071.jpeg,butterfly,butterfly,0.907,train,animals10,ann_4    ,ok,,keep
72,butterfly_000072.jpeg,butterfly,butterfly,0.949,train,animals10,ann_3    ,ok,,keep
74,butterfly_000074.jpg,butterfly,butterfly,0.952,train,animals10,ann_3    ,ok,,keep
75,butterfly_000075.jpg,butterfly,butterfly,0.842,train,animals10,ann_2    ,ok,,keep
76,butterfly_000076.jpeg,butterfly,butterfly,0.905,train,animals10,ann_2    ,ok,,keep
79,butterfly_000079.jpeg,butterfly,butterfly,0.974,train,animals10,ann_3    ,ok,,keep
81,butterfly_000081.jpeg,butterfly,butterfly,0.97,train,animals10,ann_2    ,ok,,keep
82,butterfly_000082.jpeg,butterfly,butterfly,0.969,train,animals10,ann_1    ,ok,,keep
83,butterfly_000083.jpeg,butterfly,butterfly,0.899,train,animals10,ann_3    ,ok,,keep
85,butterfly_000085.jpg,butterfly,butterfly,0.907,train,animals10,ann_4    ,ok,,keep
86,butterfly_000086.jpg,butterfly,butterfly,0.901,train,animals10,ann_3    ,ok,,keep
89,butterfly_000089.jpg,butterfly,butterfly,0.964,train,animals10,ann_4    ,ok,,keep
90,butterfly_000090.jpg,butterfly,cat,0.492,train,animals10,ann_2    ,hard_example,model_disagreement;high_entropy;low_confidence,send_to_review
91,butterfly_000091.jpeg,butterfly,butterfly,0.821,train,animals10,ann_4    ,ok,,keep
92,butterfly_000092.jpeg,butterfly,butterfly,0.973,train,animals10,ann_3    ,ok,,keep
93,butterfly_000093.jpeg,butterfly,butterfly,0.862,train,animals10,ann_3    ,ok,,keep
95,butterfly_000095.jpeg,butterfly,butterfly,0.963,train,animals10,ann_3    ,ok,,keep
96,butterfly_000096.jpg,butterfly,butterfly,0.971,train,animals10,ann_3    ,ok,,keep
97,butterfly_000097.jpg,butterfly,butterfly,0.841,val,animals10,ann_2    ,ok,,keep
98,butterfly_000098.jpeg,butterfly,butterfly,0.88,val,animals10,ann_4    ,ok,too_bright,keep
99,butterfly_000099.jpeg,butterfly,butterfly,0.952,val,animals10,ann_2    ,ok,,keep
100,butterfly_000100.jpeg,butterfly,butterfly,0.946,val,animals10,ann_4    ,ok,,keep
101,butterfly_000101.jpeg,butterfly,butterfly,0.967,val,animals10,ann_1    ,ok,,keep
102,butterfly_000102.jpeg,butterfly,butterfly,0.901,val,animals10,ann_2    ,ok,,keep
103,butterfly_000103.jpeg,butterfly,butterfly,0.891,val,animals10,ann_2    ,ok,,keep
104,butterfly_000104.jpeg,butterfly,butterfly,0.964,val,animals10,ann_4    ,ok,,keep
105,butterfly_000105.jpeg,butterfly,butterfly,0.902,val,animals10,ann_4    ,ok,,keep
106,butterfly_000106.jpeg,butterfly,butterfly,0.928,val,animals10,ann_3    ,ok,,keep
107,butterfly_000107.jpeg,butterfly,butterfly,0.951,val,animals10,ann_2    ,ok,,keep
109,butterfly_000109.jpg,butterfly,butterfly,0.831,test,animals10,ann_4    ,ok,,keep
110,butterfly_000110.jpeg,butterfly,horse,0.491,test,animals10,ann_2    ,hard_example,model_disagreement;high_entropy;low_confidence,send_to_review
111,butterfly_000111.jpeg,butterfly,butterfly,0.977,test,animals10,ann_4    ,ok,too_dark,keep
112,butterfly_000112.jpeg,butterfly,butterfly,0.963,test,animals10,ann_4    ,ok,,keep
113,butterfly_000113.jpeg,butterfly,butterfly,0.965,test,animals10,ann_4    ,ok,,keep
114,butterfly_000114.jpeg,butterfly,spider,0.481,test,animals10,ann_3    ,hard_example,model_disagreement;high_entropy;low_confidence,send_to_review
115,butterfly_000115.jpg,butterfly,spider,0.54,test,animals10,ann_2    ,hard_example,model_disagreement;high_entropy;low_confidence,send_to_review
116,butterfly_000116.jpeg,butterfly,butterfly,0.856,test,animals10,ann_1    ,ok,,keep
117,butterfly_000117.jpeg,butterfly,butterfly,0.977,test,animals10,ann_4    ,ok,,keep
