id,file_path,resolved_path,label,predicted_label,confidence,split,source,annotator,file_exists,image_opened,image_error,uncertainty_score,entropy,class_deficit_score,width,height,blur_score,brightness,contrast,resolution_score,corrupted_file,quality_score,quality_reasons,phash,duplicate_score,duplicate_group_id,duplicate_neighbor_id,duplicate_distance,label_error_probability,object_utility_score,final_score,status,reasons,recommendation,dataset_readiness_score,prob_butterfly,prob_cat,prob_chicken,prob_cow,prob_dog,prob_elephant,prob_horse,prob_sheep,prob_spider,prob_squirrel,recommended_action,action_confidence,action_reason,action_risk
1,butterfly_000001.jpeg,data/demo/images/butterfly_000001.jpeg,butterfly,butterfly,0.918,train,animals10,ann_4    ,True,True,,0.0819999999999999,0.2014255641928746,0.0241935483870967,300,209,2653.8591981957575,137.55937799043062,57.29623877918596,0.7,False,1.0,,fe244d4e9e385784,0.0,,,,0.0,0.1794387096774193,0.1794387096774193,ok,,keep,96.94892361111113,0.918,0.0091111111111111,0.0091111111111111,0.0091111111111111,0.0091111111111111,0.0091111111111111,0.0091111111111111,0.0091111111111111,0.0091111111111111,0.0091111111111111,keep,0.9,No critical issues detected.,low
2,butterfly_000002.jpeg,data/demo/images/butterfly_000002.jpeg,butterfly,butterfly,0.972,train,animals10,ann_1    ,True,True,,0.028,0.0821867515354359,0.0241935483870967,241,300,550.1449563165617,87.97430152143845,34.48078588817959,0.7,False,1.0,,e152e4ba9de66390,0.0,,,,0.0,0.1632387096774193,0.1632387096774193,ok,,keep,96.94892361111113,0.972,0.0031111111111111,0.0031111111111111,0.0031111111111111,0.0031111111111111,0.0031111111111111,0.0031111111111111,0.0031111111111111,0.0031111111111111,0.0031111111111111,keep,0.9,No critical issues detected.,low
3,butterfly_000003.jpeg,data/demo/images/butterfly_000003.jpeg,butterfly,butterfly,0.902,train,animals10,ann_2    ,True,True,,0.0979999999999999,0.2327793093014132,0.0241935483870967,300,300,6135.201266443333,209.42556666666667,75.37247857371784,1.0,False,1.0,,eb4cc2f21c37c4e4,0.0,,,,0.0,0.1842387096774193,0.1842387096774193,ok,,keep,96.94892361111113,0.902,0.0108888888888888,0.0108888888888888,0.0108888888888888,0.0108888888888888,0.0108888888888888,0.0108888888888888,0.0108888888888888,0.0108888888888888,0.0108888888888888,keep,0.9,No critical issues detected.,low
4,butterfly_000004.jpeg,data/demo/images/butterfly_000004.jpeg,butterfly,butterfly,0.917,train,animals10,ann_4    ,True,True,,0.0829999999999999,0.2034259614638958,0.0241935483870967,300,200,1141.9674840530554,80.6935,49.18711373672987,0.7,False,1.0,,e31a61db99b53864,0.0,,,,0.0,0.1797387096774193,0.1797387096774193,ok,,keep,96.94892361111113,0.917,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,keep,0.9,No critical issues detected.,low
6,butterfly_000006.jpeg,data/demo/images/butterfly_000006.jpeg,butterfly,butterfly,0.917,train,animals10,ann_4    ,True,True,,0.0829999999999999,0.2034259614638958,0.0241935483870967,300,217,7496.803283262664,152.2951920122888,91.3954242196025,0.7,False,1.0,,da4592e2b679b429,0.0,,,,0.0,0.1797387096774193,0.1797387096774193,ok,,keep,96.94892361111113,0.917,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,keep,0.9,No critical issues detected.,low
7,butterfly_000007.jpeg,data/demo/images/butterfly_000007.jpeg,butterfly,butterfly,0.942,train,animals10,ann_2    ,True,True,,0.058,0.1515112871469956,0.0241935483870967,300,219,608.6817474021717,123.61538812785388,35.97848888918072,0.7,False,1.0,,d9306485537e4cee,0.0,,,,0.0,0.1722387096774193,0.1722387096774193,ok,,keep,96.94892361111113,0.942,0.0064444444444444,0.0064444444444444,0.0064444444444444,0.0064444444444444,0.0064444444444444,0.0064444444444444,0.0064444444444444,0.0064444444444444,0.0064444444444444,keep,0.9,No critical issues detected.,low
8,butterfly_000008.jpeg,data/demo/images/butterfly_000008.jpeg,butterfly,butterfly,0.924,train,animals10,ann_2    ,True,True,,0.0759999999999999,0.1892996919537253,0.0241935483870967,213,300,6536.198653186096,201.15596244131456,70.25809758779315,0.7,False,1.0,,ee3e34c1d9c1c193,0.0,,,,0.0,0.1776387096774193,0.1776387096774193,ok,,keep,96.94892361111113,0.924,0.0084444444444444,0.0084444444444444,0.0084444444444444,0.0084444444444444,0.0084444444444444,0.0084444444444444,0.0084444444444444,0.0084444444444444,0.0084444444444444,keep,0.9,No critical issues detected.,low
11,butterfly_000011.jpeg,data/demo/images/butterfly_000011.jpeg,butterfly,butterfly,0.967,train,animals10,ann_4    ,True,True,,0.033,0.0944716380143206,0.0241935483870967,300,244,3381.809585998201,133.14601092896174,55.78278807872502,0.7,False,1.0,,efee901882e3e0ec,0.0,,,,0.0,0.1647387096774193,0.1647387096774193,ok,,keep,96.94892361111113,0.967,0.0036666666666666,0.0036666666666666,0.0036666666666666,0.0036666666666666,0.0036666666666666,0.0036666666666666,0.0036666666666666,0.0036666666666666,0.0036666666666666,keep,0.9,No critical issues detected.,low
13,butterfly_000013.jpeg,data/demo/images/butterfly_000013.jpeg,butterfly,butterfly,0.834,train,animals10,ann_3    ,True,True,,0.166,0.3536138233774599,0.0241935483870967,300,169,5267.103264372163,150.4177712031558,43.43920465147107,0.7,False,1.0,,d6c28eb617728d83,0.0,,,,0.0,0.2046387096774193,0.2046387096774193,ok,,keep,96.94892361111113,0.834,0.0184444444444444,0.0184444444444444,0.0184444444444444,0.0184444444444444,0.0184444444444444,0.0184444444444444,0.0184444444444444,0.0184444444444444,0.0184444444444444,keep,0.9,No critical issues detected.,low
14,butterfly_000014.jpg,data/demo/images/butterfly_000014.jpg,butterfly,butterfly,0.908,train,animals10,ann_3    ,True,True,,0.0919999999999999,0.2211798759525368,0.0241935483870967,640,412,974.8987670049128,138.43837226941747,60.09456950205152,1.0,False,1.0,,e5db919c24ec26c9,0.0,,,,0.0,0.1824387096774193,0.1824387096774193,ok,,keep,96.94892361111113,0.908,0.0102222222222222,0.0102222222222222,0.0102222222222222,0.0102222222222222,0.0102222222222222,0.0102222222222222,0.0102222222222222,0.0102222222222222,0.0102222222222222,keep,0.9,No critical issues detected.,low
15,butterfly_000015.jpeg,data/demo/images/butterfly_000015.jpeg,butterfly,butterfly,0.934,train,animals10,ann_2    ,True,True,,0.0659999999999999,0.1685861191353802,0.0241935483870967,300,200,2115.094818786389,134.36491666666666,58.38721337610136,0.7,False,1.0,,c6c1346ad17d86f1,0.0,,,,0.0,0.1746387096774193,0.1746387096774193,ok,,keep,96.94892361111113,0.934,0.0073333333333333,0.0073333333333333,0.0073333333333333,0.0073333333333333,0.0073333333333333,0.0073333333333333,0.0073333333333333,0.0073333333333333,0.0073333333333333,keep,0.9,No critical issues detected.,low
16,butterfly_000016.jpeg,data/demo/images/butterfly_000016.jpeg,butterfly,butterfly,0.839,train,animals10,ann_2    ,True,True,,0.161,0.3452977885003792,0.0241935483870967,300,200,441.5188266488889,125.30775,20.1360408208143,0.7,False,1.0,,81f91cee5a950dc3,0.0,,,,0.0,0.2031387096774193,0.2031387096774193,ok,,keep,96.94892361111113,0.839,0.0178888888888888,0.0178888888888888,0.0178888888888888,0.0178888888888888,0.0178888888888888,0.0178888888888888,0.0178888888888888,0.0178888888888888,0.0178888888888888,keep,0.9,No critical issues detected.,low
17,butterfly_000017.jpg,data/demo/images/butterfly_000017.jpg,butterfly,butterfly,0.899,train,animals10,ann_3    ,True,True,,0.1009999999999999,0.2385120674902076,0.0241935483870967,640,426,1378.048297422722,136.80380721830986,46.74560041059343,1.0,False,1.0,,fc96cb8d02c629b6,0.0,,,,0.0,0.1851387096774193,0.1851387096774193,ok,,keep,96.94892361111113,0.899,0.0112222222222222,0.0112222222222222,0.0112222222222222,0.0112222222222222,0.0112222222222222,0.0112222222222222,0.0112222222222222,0.0112222222222222,0.0112222222222222,keep,0.9,No critical issues detected.,low
18,butterfly_000018.jpeg,data/demo/images/butterfly_000018.jpeg,butterfly,butterfly,0.949,train,animals10,ann_2    ,True,True,,0.051,0.1361546490639656,0.0241935483870967,300,225,2139.04004002941,88.26854814814814,49.814968600882814,0.7,False,1.0,,d01327fc31c71f92,0.0,,,,0.0,0.1701387096774193,0.1701387096774193,ok,,keep,96.94892361111113,0.949,0.0056666666666666,0.0056666666666666,0.0056666666666666,0.0056666666666666,0.0056666666666666,0.0056666666666666,0.0056666666666666,0.0056666666666666,0.0056666666666666,keep,0.9,No critical issues detected.,low
21,butterfly_000021.jpeg,data/demo/images/butterfly_000021.jpeg,butterfly,butterfly,0.832,train,animals10,ann_4    ,True,True,,0.168,0.3569181704390347,0.0241935483870967,300,169,1098.862001437469,91.3531755424063,40.142395468868656,0.7,False,1.0,,e361c4871b74e94e,0.0,,,,0.0,0.2052387096774193,0.2052387096774193,ok,,keep,96.94892361111113,0.832,0.0186666666666666,0.0186666666666666,0.0186666666666666,0.0186666666666666,0.0186666666666666,0.0186666666666666,0.0186666666666666,0.0186666666666666,0.0186666666666666,keep,0.9,No critical issues detected.,low
22,butterfly_000022.jpeg,data/demo/images/butterfly_000022.jpeg,butterfly,butterfly,0.96,train,animals10,ann_2    ,True,True,,0.04,0.1111069126635245,0.0241935483870967,300,200,1273.0201674663888,159.5378,63.34452571317167,0.7,False,1.0,,fa9bc46c95c495e0,0.0,,,,0.0,0.1668387096774193,0.1668387096774193,ok,,keep,96.94892361111113,0.96,0.0044444444444444,0.0044444444444444,0.0044444444444444,0.0044444444444444,0.0044444444444444,0.0044444444444444,0.0044444444444444,0.0044444444444444,0.0044444444444444,keep,0.9,No critical issues detected.,low
23,butterfly_000023.jpeg,data/demo/images/butterfly_000023.jpeg,butterfly,butterfly,0.9,train,animals10,ann_1    ,True,True,,0.0999999999999999,0.2366059881055953,0.0241935483870967,221,300,1710.4103643896633,99.5385822021116,65.38642304295166,0.7,False,1.0,,aab6339903c9c9f2,0.0,,,,0.0,0.1848387096774193,0.1848387096774193,ok,,keep,96.94892361111113,0.9,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,keep,0.9,No critical issues detected.,low
24,butterfly_000024.jpeg,data/demo/images/butterfly_000024.jpeg,butterfly,butterfly,0.869,train,animals10,ann_2    ,True,True,,0.131,0.2936350389288106,0.0241935483870967,300,200,1018.1043199530556,105.13685,27.943514848306037,0.7,False,1.0,,9ad8a54dd9da7013,0.0,,,,0.0,0.1941387096774193,0.1941387096774193,ok,,keep,96.94892361111113,0.869,0.0145555555555555,0.0145555555555555,0.0145555555555555,0.0145555555555555,0.0145555555555555,0.0145555555555555,0.0145555555555555,0.0145555555555555,0.0145555555555555,keep,0.9,No critical issues detected.,low
25,butterfly_000025.jpeg,data/demo/images/butterfly_000025.jpeg,butterfly,butterfly,0.875,train,animals10,ann_3    ,True,True,,0.125,0.2829095113164397,0.0241935483870967,300,222,1884.8932733057384,108.948978978979,63.45869416655122,0.7,False,1.0,,9865389cfff14c0a,0.0,,,,0.0,0.1923387096774193,0.1923387096774193,ok,,keep,96.94892361111113,0.875,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,keep,0.9,No critical issues detected.,low
26,butterfly_000026.jpeg,data/demo/images/butterfly_000026.jpeg,butterfly,butterfly,0.922,train,animals10,ann_3    ,True,True,,0.0779999999999999,0.193365623172019,0.0241935483870967,300,300,7249.312097657283,186.84873333333337,79.48186967657746,1.0,False,1.0,,d964b611e4bece41,0.0,,,,0.0,0.1782387096774193,0.1782387096774193,ok,,keep,96.94892361111113,0.922,0.0086666666666666,0.0086666666666666,0.0086666666666666,0.0086666666666666,0.0086666666666666,0.0086666666666666,0.0086666666666666,0.0086666666666666,0.0086666666666666,keep,0.9,No critical issues detected.,low
27,butterfly_000027.jpeg,data/demo/images/butterfly_000027.jpeg,butterfly,butterfly,0.905,train,animals10,ann_2    ,True,True,,0.0949999999999999,0.2270023273706416,0.0241935483870967,300,181,1252.0593280882754,203.10300184162065,78.18172848374061,0.7,False,1.0,,e9d99536d2859a62,0.0,,,,0.0,0.1833387096774193,0.1833387096774193,ok,,keep,96.94892361111113,0.905,0.0105555555555555,0.0105555555555555,0.0105555555555555,0.0105555555555555,0.0105555555555555,0.0105555555555555,0.0105555555555555,0.0105555555555555,0.0105555555555555,keep,0.9,No critical issues detected.,low
28,butterfly_000028.jpeg,data/demo/images/butterfly_000028.jpeg,butterfly,butterfly,0.847,train,animals10,ann_3    ,True,True,,0.153,0.3318240621360707,0.0241935483870967,300,225,2868.406682718464,96.6230962962963,56.25017612388876,0.7,False,1.0,,8addb9a30f9056cc,0.0,,,,0.0,0.2007387096774193,0.2007387096774193,ok,,keep,96.94892361111113,0.847,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,keep,0.9,No critical issues detected.,low
29,butterfly_000029.jpeg,data/demo/images/butterfly_000029.jpeg,butterfly,butterfly,0.952,train,animals10,ann_1    ,True,True,,0.048,0.1294416818540954,0.0241935483870967,300,225,2254.7881283711386,77.18444444444444,50.61377790266448,0.7,False,1.0,,d6c2586d1bd830f3,0.0,,,,0.0,0.1692387096774193,0.1692387096774193,ok,,keep,96.94892361111113,0.952,0.0053333333333333,0.0053333333333333,0.0053333333333333,0.0053333333333333,0.0053333333333333,0.0053333333333333,0.0053333333333333,0.0053333333333333,0.0053333333333333,keep,0.9,No critical issues detected.,low
30,butterfly_000030.jpeg,data/demo/images/butterfly_000030.jpeg,butterfly,butterfly,0.943,train,animals10,ann_3    ,True,True,,0.057,0.1493424256704644,0.0241935483870967,300,200,2009.4893175455552,72.24111666666667,52.71189093635694,0.7,False,1.0,,c3ac2a4afd8f50d1,0.0,,,,0.0,0.1719387096774193,0.1719387096774193,ok,,keep,96.94892361111113,0.943,0.0063333333333333,0.0063333333333333,0.0063333333333333,0.0063333333333333,0.0063333333333333,0.0063333333333333,0.0063333333333333,0.0063333333333333,0.0063333333333333,keep,0.9,No critical issues detected.,low
31,butterfly_000031.jpeg,data/demo/images/butterfly_000031.jpeg,butterfly,butterfly,0.887,train,animals10,ann_1    ,True,True,,0.1129999999999999,0.2610232843193312,0.0241935483870967,254,300,4725.223405856256,184.7642125984252,90.22176939086152,0.7,False,1.0,,eaca953dd236a584,0.0,,,,0.0,0.1887387096774193,0.1887387096774193,ok,,keep,96.94892361111113,0.887,0.0125555555555555,0.0125555555555555,0.0125555555555555,0.0125555555555555,0.0125555555555555,0.0125555555555555,0.0125555555555555,0.0125555555555555,0.0125555555555555,keep,0.9,No critical issues detected.,low
32,butterfly_000032.jpg,data/demo/images/butterfly_000032.jpg,butterfly,butterfly,0.866,train,animals10,ann_3    ,True,True,,0.134,0.2989459544540185,0.0241935483870967,640,426,9526.620676785951,104.93234301643191,49.0946805813251,1.0,False,1.0,,a122897be3e8f12b,0.0,,,,0.0,0.1950387096774193,0.1950387096774193,ok,,keep,96.94892361111113,0.866,0.0148888888888888,0.0148888888888888,0.0148888888888888,0.0148888888888888,0.0148888888888888,0.0148888888888888,0.0148888888888888,0.0148888888888888,0.0148888888888888,keep,0.9,No critical issues detected.,low
33,butterfly_000033.jpeg,data/demo/images/butterfly_000033.jpeg,butterfly,butterfly,0.93,train,animals10,ann_3    ,True,True,,0.0699999999999999,0.1769509663616504,0.0241935483870967,300,201,882.6869877310518,90.19253731343284,41.35593320560728,0.7,False,1.0,,e3e2381cc7e3381e,0.0,,,,0.0,0.1758387096774193,0.1758387096774193,ok,,keep,96.94892361111113,0.93,0.0077777777777777,0.0077777777777777,0.0077777777777777,0.0077777777777777,0.0077777777777777,0.0077777777777777,0.0077777777777777,0.0077777777777777,0.0077777777777777,keep,0.9,No critical issues detected.,low
34,butterfly_000034.jpg,data/demo/images/butterfly_000034.jpg,butterfly,butterfly,0.845,train,animals10,ann_4    ,True,True,,0.155,0.3352122523412655,0.0241935483870967,640,510,744.0299709767484,103.63385723039217,47.350458283355955,1.0,False,1.0,,9fd352820a31ecde,0.0,,,,0.0,0.2013387096774193,0.2013387096774193,ok,,keep,96.94892361111113,0.845,0.0172222222222222,0.0172222222222222,0.0172222222222222,0.0172222222222222,0.0172222222222222,0.0172222222222222,0.0172222222222222,0.0172222222222222,0.0172222222222222,keep,0.9,No critical issues detected.,low
35,butterfly_000035.jpeg,data/demo/images/butterfly_000035.jpeg,butterfly,butterfly,0.917,train,animals10,ann_3    ,True,True,,0.0829999999999999,0.2034259614638958,0.0241935483870967,169,300,3427.865123208416,185.7758382642998,62.40725369415342,0.7,False,1.0,,8ef481e3635a2c9d,0.0,,,,0.0,0.1797387096774193,0.1797387096774193,ok,,keep,96.94892361111113,0.917,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,0.0092222222222222,keep,0.9,No critical issues detected.,low
36,butterfly_000036.jpeg,data/demo/images/butterfly_000036.jpeg,butterfly,butterfly,0.978,train,animals10,ann_3    ,True,True,,0.022,0.0669086319043584,0.0241935483870967,300,199,618.1686149294771,106.25180904522612,42.30036996377708,0.7,False,1.0,,81861ef9523b2dbc,0.0,,,,0.0,0.1614387096774193,0.1614387096774193,ok,,keep,96.94892361111113,0.978,0.0024444444444444,0.0024444444444444,0.0024444444444444,0.0024444444444444,0.0024444444444444,0.0024444444444444,0.0024444444444444,0.0024444444444444,0.0024444444444444,keep,0.9,No critical issues detected.,low
37,butterfly_000037.jpeg,data/demo/images/butterfly_000037.jpeg,butterfly,butterfly,0.879,train,animals10,ann_1    ,True,True,,0.121,0.2756800883010776,0.0241935483870967,225,300,4374.159391358025,143.83013333333332,45.97835888824541,0.7,False,1.0,,f189d98e666386b8,0.0,,,,0.0,0.1911387096774193,0.1911387096774193,ok,,keep,96.94892361111113,0.879,0.0134444444444444,0.0134444444444444,0.0134444444444444,0.0134444444444444,0.0134444444444444,0.0134444444444444,0.0134444444444444,0.0134444444444444,0.0134444444444444,keep,0.9,No critical issues detected.,low
